id,source,prefecture,region,agency,agency_type,title,category,bid_method,announced_date,deadline,budget,spec_status,spec_reason,winner,win_price,detail_url,external_id
7089,京都府入札情報公開,京都府,近畿,建設交通部 京都府港湾局,都道府県,重要港湾舞鶴港 物流基盤重点整備事業（多目的クレーン更新）工事（港８舞鶴港基整（多C）第６５００号の１の１）,電気工事,一般競争入札,2026-05-29,2026-06-08,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-9-重要港湾舞鶴港 物流基盤重点整備事業
7090,京都府入札情報公開,京都府,近畿,教育庁 管理部管理課,都道府県,府立学校照明設備LED化改修工事（嵯峨野・北嵯峨・洛西・盲）,電気工事,一般競争入札,2026-05-29,2026-06-05,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-10-府立学校照明設備LED化改修工事（嵯
7091,京都府入札情報公開,京都府,近畿,入札課担当案件 入札課,都道府県,京都府中丹文化会館舞台照明設備改修工事（調光操作卓）,電気工事,一般競争入札,2026-05-29,2026-06-05,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-11-京都府中丹文化会館舞台照明設備改修工
7092,京都府入札情報公開,京都府,近畿,教育庁 管理部管理課,都道府県,府立学校照明設備LED化改修工事（海洋・峰山）,電気工事,一般競争入札,2026-05-29,2026-06-04,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-12-府立学校照明設備LED化改修工事（海
7093,京都府入札情報公開,京都府,近畿,警察本部 総務部会計課,都道府県,京都府舞鶴警察署庁舎新築工事（電気設備工事）,電気工事,一般競争入札,2026-05-27,2026-06-11,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-13-京都府舞鶴警察署庁舎新築工事（電気設
7094,京都府入札情報公開,京都府,近畿,建設交通部 京都府乙訓土木事務所,都道府県,伏見向日線他 道路維持修繕業務委託（ポンプ定期点検等）（乙８道維修第７号）,電気工事,一般競争入札,2026-05-26,2026-06-03,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-14-伏見向日線他 道路維持修繕業務委託（
7095,京都府入札情報公開,京都府,近畿,建設交通部 京都府公営企業管理事務所,都道府県,中央監視制御装置等点検業務委託（公管８電委第３３０３号の２の１）,電気工事,一般競争入札,2026-05-26,2026-06-02,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-15-中央監視制御装置等点検業務委託（公管
7096,京都府入札情報公開,京都府,近畿,建設交通部 京都府山城北土木事務所,都道府県,国道３０７号他道路維持修繕（小修繕）工事（山北８道維修（小修繕）第１７号）,電気工事,一般競争入札,2026-05-22,2026-05-29,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-16-国道３０７号他道路維持修繕（小修繕）
7097,京都府入札情報公開,京都府,近畿,建設交通部 京都府山城北土木事務所,都道府県,大津南郷宇治線他道路維持修繕（小修繕）工事（山北８道維修（小修繕）第１６号）,電気工事,一般競争入札,2026-05-22,2026-05-29,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-17-大津南郷宇治線他道路維持修繕（小修繕
5118,官公需API,京都府,近畿,京都府久御山町,地方公共団体,公告（5号配水ポンプ設備更新工事) (PDF形式、119.37KB),電気工事,,2026-05-21,,,unknown,,,,https://www.town.kumiyama.lg.jp/cmsfiles/contents/0000006/6581/20260521_5.pdf,KKJ-a3lvdG8va3VtaXlhbWFfdG93bi8yMDI2LzIwMjYwNTIxXzAwMDIxCg==
